theta0,theta1,value
7.5,-4.5,-25.316729987310023
8.0,-4.5,-25.316729987310023
8.5,-4.5,-25.316729987310023
9.0,-4.5,-25.316729987310023
9.5,-4.5,-25.316729987310023
10.0,-4.5,-25.316729987310023
-10.0,-4.0,-25.314255503554286
-9.5,-4.0,-25.314255503554286
-9.0,-4.0,-25.314255503554286
-8.5,-4.0,-25.314255503554286
-8.0,-4.0,-25.314255503554286
-7.5,-4.0,-25.314255503554286
-7.0,-4.0,-25.314255503554286
-6.5,-4.0,-25.314255503554286
-6.0,-4.0,-25.314255503554286
-5.5,-4.0,-25.314255503554286
-5.0,-4.0,-25.314255503554286
-4.5,-4.0,-25.314255503554286
-4.0,-4.0,-25.314255503554286
-3.5,-4.0,-25.314255503554286
-3.0,-4.0,-25.314255503554286
-2.5,-4.0,-25.314255503554286
-2.0,-4.0,-25.314255503554286
-1.5,-4.0,-25.314255503554286
-1.0,-4.0,-25.314255503554286
-0.5,-4.0,-25.314255503554286
0.0,-4.0,-25.314255503554286
0.5,-4.0,-25.314255503554286
1.0,-4.0,-25.314255503554286
1.5,-4.0,-25.314255503554286
2.0,-4.0,-25.314255503554286
2.5,-4.0,-25.314255503554286
3.0,-4.0,-25.314255503554286
3.5,-4.0,-25.314255503554286
4.0,-4.0,-25.314255503554286
4.5,-4.0,-25.314255503554286
5.0,-4.0,-25.314255503554286
5.5,-4.0,-25.314255503554286
6.0,-4.0,-25.314255503554286
6.5,-4.0,-25.314255503554286
7.0,-4.0,-25.314255503554286
7.5,-4.0,-25.314255503554286
8.0,-4.0,-25.314255503554286
8.5,-4.0,-25.314255503554286
9.0,-4.0,-25.314255503554286
9.5,-4.0,-25.314255503554286
10.0,-4.0,-25.314255503554286
-10.0,-3.5,-25.31021516813546
-9.5,-3.5,-25.31021516813546
-9.0,-3.5,-25.31021516813546
-8.5,-3.5,-25.31021516813546
-8.0,-3.5,-25.31021516813546
-7.5,-3.5,-25.31021516813546
-7.0,-3.5,-25.31021516813546
-6.5,-3.5,-25.31021516813546
-6.0,-3.5,-25.31021516813546
-5.5,-3.5,-25.31021516813546
-5.0,-3.5,-25.31021516813546
-4.5,-3.5,-25.31021516813546
-4.0,-3.5,-25.31021516813546
-3.5,-3.5,-25.31021516813546
-3.0,-3.5,-25.31021516813546
-2.5,-3.5,-25.31021516813546
-2.0,-3.5,-25.31021516813546
-1.5,-3.5,-25.31021516813546
-1.0,-3.5,-25.31021516813546
-0.5,-3.5,-25.31021516813546
0.0,-3.5,-25.31021516813546
0.5,-3.5,-25.31021516813546
1.0,-3.5,-25.31021516813546
1.5,-3.5,-25.31021516813546
2.0,-3.5,-25.31021516813546
2.5,-3.5,-25.31021516813546
3.0,-3.5,-25.31021516813546
3.5,-3.5,-25.31021516813546
4.0,-3.5,-25.31021516813546
4.5,-3.5,-25.31021516813546
5.0,-3.5,-25.31021516813546
5.5,-3.5,-25.31021516813546
6.0,-3.5,-25.31021516813546
6.5,-3.5,-25.31021516813546
7.0,-3.5,-25.31021516813546
7.5,-3.5,-25.31021516813546
8.0,-3.5,-25.31021516813546
8.5,-3.5,-25.31021516813546
9.0,-3.5,-25.31021516813546
9.5,-3.5,-25.31021516813546
