theta0,theta1,bias
1.5,-2.5,-0.16349
2.0,-2.5,0.12007
2.5,-2.5,0.3829
3.0,-2.5,0.59726
3.5,-2.5,0.75455
4.0,-2.5,0.8615
4.5,-2.5,0.93075
5.0,-2.5,0.97433
5.5,-2.5,1.00132
6.0,-2.5,1.01788
6.5,-2.5,1.02799
7.0,-2.5,1.03415
7.5,-2.5,1.0379
8.0,-2.5,1.04017
8.5,-2.5,1.04155
9.0,-2.5,1.04239
9.5,-2.5,1.0429
10.0,-2.5,1.04321
-10.0,-2.0,-1.23838
-9.5,-2.0,-1.23836
-9.0,-2.0,-1.23833
-8.5,-2.0,-1.23828
-8.0,-2.0,-1.23819
-7.5,-2.0,-1.23805
-7.0,-2.0,-1.23782
-6.5,-2.0,-1.23744
-6.0,-2.0,-1.23682
-5.5,-2.0,-1.23579
-5.0,-2.0,-1.23409
-4.5,-2.0,-1.2313
-4.0,-2.0,-1.22672
-3.5,-2.0,-1.21919
-3.0,-2.0,-1.20689
-2.5,-2.0,-1.18688
-2.0,-2.0,-1.15459
-1.5,-2.0,-1.10324
-1.0,-2.0,-1.02331
-0.5,-2.0,-0.9031
0.0,-2.0,-0.73141
0.5,-2.0,-0.50382
1.0,-2.0,-0.23085
1.5,-2.0,0.05872
2.0,-2.0,0.32742
2.5,-2.0,0.54684
3.0,-2.0,0.70806
3.5,-2.0,0.81782
4.0,-2.0,0.88897
4.5,-2.0,0.93378
5.0,-2.0,0.96154
5.5,-2.0,0.97859
6.0,-2.0,0.989
6.5,-2.0,0.99534
7.0,-2.0,0.9992
7.5,-2.0,1.00154
8.0,-2.0,1.00296
8.5,-2.0,1.00382
9.0,-2.0,1.00435
9.5,-2.0,1.00466
10.0,-2.0,1.00486
-10.0,-1.5,-1.3648
-9.5,-1.5,-1.36477
-9.0,-1.5,-1.36472
-8.5,-1.5,-1.36463
-8.0,-1.5,-1.36449
-7.5,-1.5,-1.36425
-7.0,-1.5,-1.36386
-6.5,-1.5,-1.36322
-6.0,-1.5,-1.36216
-5.5,-1.5,-1.36042
-5.0,-1.5,-1.35756
-4.5,-1.5,-1.35285
-4.0,-1.5,-1.34513
-3.5,-1.5,-1.33249
-3.0,-1.5,-1.31194
-2.5,-1.5,-1.2788
-2.0,-1.5,-1.22606
-1.5,-1.5,-1.14396
-1.0,-1.5,-1.02047
-0.5,-1.5,-0.84403
0.0,-1.5,-0.61001
0.5,-1.5,-0.3291
1.0,-1.5,-0.03075
1.5,-1.5,0.2465
2.0,-1.5,0.4733
2.5,-1.5,0.64025
3.0,-1.5,0.75411
3.5,-1.5,0.82802
4.0,-1.5,0.87463
4.5,-1.5,0.90352
5.0,-1.5,0.92127
5.5,-1.5,0.93212
6.0,-1.5,0.93873
6.5,-1.5,0.94275
7.0,-1.5,0.94519
7.5,-1.5,0.94667
8.0,-1.5,0.94757
8.5,-1.5,0.94811
9.0,-1.5,0.94844
9.5,-1.5,0.94865
10.0,-1.5,0.94877
-10.0,-1.0,-1.5378
-9.5,-1.0,-1.53774
-9.0,-1.0,-1.53765
-8.5,-1.0,-1.53751
-8.0,-1.0,-1.53726
-7.5,-1.0,-1.53686
-7.0,-1.0,-1.53619
-6.5,-1.0,-1.5351
-6.0,-1.0,-1.5333
-5.5,-1.0,-1.53033
-5.0,-1.0,-1.52545
-4.5,-1.0,-1.51745
-4.0,-1.0,-1.50437
-3.5,-1.0,-1.48309
-3.0,-1.0,-1.44876
-2.5,-1.0,-1.39413
-2.0,-1.0,-1.30907
-1.5,-1.0,-1.18109
-1.0,-1.0,-0.99815
-0.5,-1.0,-0.75532
0.0,-1.0,-0.46354
0.5,-1.0,-0.15319
1.0,-1.0,0.13575
1.5,-1.0,0.37266
2.0,-1.0,0.54745
2.5,-1.0,0.66692
3.0,-1.0,0.74462
3.5,-1.0,0.79368
4.0,-1.0,0.82413
4.5,-1.0,0.84285
5.0,-1.0,0.85429
5.5,-1.0,0.86126
6.0,-1.0,0.8655
6.5,-1.0,0.86807
7.0,-1.0,0.86964
7.5,-1.0,0.87059
8.0,-1.0,0.87116
8.5,-1.0,0.87151
9.0,-1.0,0.87173
9.5,-1.0,0.87185
10.0,-1.0,0.87193
-10.0,-0.5,-1.75494
-9.5,-0.5,-1.75484
-9.0,-0.5,-1.75469
-8.5,-0.5,-1.75443
-8.0,-0.5,-1.75401
-7.5,-0.5,-1.75332
-7.0,-0.5,-1.75218
-6.5,-0.5,-1.7503
-6.0,-0.5,-1.7472
-5.5,-0.5,-1.74212
-5.0,-0.5,-1.73377
-4.5,-0.5,-1.72012
-4.0,-0.5,-1.69792
-3.5,-0.5,-1.6621
-3.0,-0.5,-1.60509
-2.5,-0.5,-1.51633
-2.0,-0.5,-1.3827
-1.5,-0.5,-1.1916
-1.0,-0.5,-0.93773
-0.5,-0.5,-0.6323
0.0,-0.5,-0.30689
0.5,-0.5,-0.00325
1.0,-0.5,0.24633
1.5,-0.5,0.43097
2.0,-0.5,0.55748
2.5,-0.5,0.63994
3.0,-0.5,0.69207
3.5,-0.5,0.72447
4.0,-0.5,0.7444
4.5,-0.5,0.75659
5.0,-0.5,0.76401
5.5,-0.5,0.76853
6.0,-0.5,0.77128
6.5,-0.5,0.77295
7.0,-0.5,0.77396
7.5,-0.5,0.77457
8.0,-0.5,0.77495
8.5,-0.5,0.77517
9.0,-0.5,0.77531
9.5,-0.5,0.77539
10.0,-0.5,0.77544
-10.0,0.0,-1.99975
-9.5,0.0,-1.99959
-9.0,0.0,-1.99932
-8.5,0.0,-1.99888
-8.0,0.0,-1.99816
-7.5,0.0,-1.99696
-7.0,0.0,-1.99499
-6.5,0.0,-1.99175
-6.0,0.0,-1.98643
-5.5,0.0,-1.9777
-5.0,0.0,-1.96341
-4.5,0.0,-1.94017
-4.0,0.0,-1.90267
-3.5,0.0,-1.84299
-3.0,0.0,-1.75003
-2.5,0.0,-1.61005
-2.0,0.0,-1.40974
-1.5,0.0,-1.14341
-1.0,0.0,-0.8226
-0.5,0.0,-0.4802
0.0,0.0,-0.16
0.5,0.0,0.10388
1.0,0.0,0.29963
1.5,0.0,0.43408
2.0,0.0,0.52189
2.5,0.0,0.5775
3.0,0.0,0.61209
3.5,0.0,0.63339
4.0,0.0,0.64642
4.5,0.0,0.65436
5.0,0.0,0.65919
5.5,0.0,0.66213
6.0,0.0,0.66391
6.5,0.0,0.665
7.0,0.0,0.66565
7.5,0.0,0.66605
8.0,0.0,0.66629
8.5,0.0,0.66644
9.0,0.0,0.66653
9.5,0.0,0.66658
10.0,0.0,0.66662
-10.0,0.5,-2.24449
-9.5,0.5,-2.24421
-9.0,0.5,-2.24375
-8.5,0.5,-2.24299
-8.0,0.5,-2.24174
-7.5,0.5,-2.23969
-7.0,0.5,-2.23631
-6.5,0.5,-2.23075
-6.0,0.5,-2.22162
-5.5,0.5,-2.2067
-5.0,0.5,-2.18242
-4.5,0.5,-2.14324
-4.0,0.5,-2.08088
-3.5,0.5,-1.98373
-3.0,0.5,-1.83739
-2.5,0.5,-1.62788
-2.0,0.5,-1.3491
-1.5,0.5,-1.0129
-1.0,0.5,-0.65351
-0.5,0.5,-0.31675
0.0,0.5,-0.03857
0.5,0.5,0.16828
1.0,0.5,0.31068
1.5,0.5,0.40384
2.0,0.5,0.46293
2.5,0.5,0.49972
3.0,0.5,0.52238
3.5,0.5,0.53625
4.0,0.5,0.54471
4.5,0.5,0.54985
5.0,0.5,0.55298
5.5,0.5,0.55488
6.0,0.5,0.55604
6.5,0.5,0.55673
7.0,0.5,0.55716
7.5,0.5,0.55742
8.0,0.5,0.55757
8.5,0.5,0.55767
9.0,0.5,0.55773
9.5,0.5,0.55776
10.0,0.5,0.55778
-10.0,1.0,-2.46138
-9.5,1.0,-2.4609
-9.0,1.0,-2.46012
-8.5,1.0,-2.45882
-8.0,1.0,-2.45669
-7.5,1.0,-2.45318
-7.0,1.0,-2.44741
-6.5,1.0,-2.43794
-6.0,1.0,-2.42245
-5.5,1.0,-2.39725
-5.0,1.0,-2.35659
-4.5,1.0,-2.29185
-4.0,1.0,-2.19099
-3.5,1.0,-2.039
-3.0,1.0,-1.82133
-2.5,1.0,-1.5315
-2.0,1.0,-1.18166
-1.5,1.0,-0.80721
-1.0,1.0,-0.45575
-0.5,1.0,-0.1649
0.0,1.0,0.0518
0.5,1.0,0.20124
