method_name,seed,tuning_samples,learning_samples,total_samples
discounted_vanilla_exact,139,8730,125,8855
discounted_vanilla_exact,140,8730,125,8855
discounted_vanilla_exact,141,8730,125,8855
discounted_vanilla_proper,42,53337,464,53801
discounted_vanilla_proper,43,53337,616,53953
discounted_vanilla_proper,44,53337,391,53728
discounted_vanilla_proper,45,53337,200,53537
discounted_vanilla_proper,46,53337,486,53823
discounted_vanilla_proper,47,53337,647,53984
discounted_vanilla_proper,48,53337,415,53752
discounted_vanilla_proper,49,53337,427,53764
discounted_vanilla_proper,50,53337,389,53726
discounted_vanilla_proper,51,53337,307,53644
discounted_vanilla_proper,52,53337,351,53688
discounted_vanilla_proper,53,53337,1077,54414
discounted_vanilla_proper,54,53337,385,53722
discounted_vanilla_proper,55,53337,960,54297
discounted_vanilla_proper,56,53337,573,53910
discounted_vanilla_proper,57,53337,350,53687
discounted_vanilla_proper,58,53337,422,53759
discounted_vanilla_proper,59,53337,666,54003
discounted_vanilla_proper,60,53337,438,53775
discounted_vanilla_proper,61,53337,262,53599
discounted_vanilla_proper,62,53337,527,53864
discounted_vanilla_proper,63,53337,424,53761
discounted_vanilla_proper,64,53337,351,53688
discounted_vanilla_proper,65,53337,460,53797
discounted_vanilla_proper,66,53337,841,54178
discounted_vanilla_proper,67,53337,418,53755
discounted_vanilla_proper,68,53337,365,53702
discounted_vanilla_proper,69,53337,507,53844
discounted_vanilla_proper,70,53337,315,53652
discounted_vanilla_proper,71,53337,323,53660
discounted_vanilla_proper,72,53337,354,53691
discounted_vanilla_proper,73,53337,462,53799
discounted_vanilla_proper,74,53337,353,53690
discounted_vanilla_proper,75,53337,341,53678
discounted_vanilla_proper,76,53337,605,53942
discounted_vanilla_proper,77,53337,416,53753
discounted_vanilla_proper,78,53337,425,53762
discounted_vanilla_proper,79,53337,696,54033
discounted_vanilla_proper,80,53337,358,53695
discounted_vanilla_proper,81,53337,417,53754
discounted_vanilla_proper,82,53337,287,53624
discounted_vanilla_proper,83,53337,333,53670
discounted_vanilla_proper,84,53337,468,53805
discounted_vanilla_proper,85,53337,1128,54465
discounted_vanilla_proper,86,53337,379,53716
discounted_vanilla_proper,87,53337,521,53858
discounted_vanilla_proper,88,53337,448,53785
discounted_vanilla_proper,89,53337,706,54043
discounted_vanilla_proper,90,53337,395,53732
discounted_vanilla_proper,91,53337,558,53895
discounted_vanilla_proper,92,53337,585,53922
discounted_vanilla_proper,93,53337,409,53746
discounted_vanilla_proper,94,53337,800,54137
discounted_vanilla_proper,95,53337,1095,54432
discounted_vanilla_proper,96,53337,313,53650
discounted_vanilla_proper,97,53337,392,53729
discounted_vanilla_proper,98,53337,412,53749
discounted_vanilla_proper,99,53337,476,53813
discounted_vanilla_proper,100,53337,448,53785
discounted_vanilla_proper,101,53337,498,53835
discounted_vanilla_proper,102,53337,429,53766
discounted_vanilla_proper,103,53337,592,53929
discounted_vanilla_proper,104,53337,444,53781
discounted_vanilla_proper,105,53337,270,53607
discounted_vanilla_proper,106,53337,321,53658
discounted_vanilla_proper,107,53337,345,53682
discounted_vanilla_proper,108,53337,775,54112
discounted_vanilla_proper,109,53337,449,53786
discounted_vanilla_proper,110,53337,247,53584
discounted_vanilla_proper,111,53337,353,53690
discounted_vanilla_proper,112,53337,356,53693
discounted_vanilla_proper,113,53337,401,53738
discounted_vanilla_proper,114,53337,251,53588
discounted_vanilla_proper,115,53337,401,53738
discounted_vanilla_proper,116,53337,413,53750
discounted_vanilla_proper,117,53337,439,53776
discounted_vanilla_proper,118,53337,361,53698
discounted_vanilla_proper,119,53337,411,53748
discounted_vanilla_proper,120,53337,651,53988
discounted_vanilla_proper,121,53337,1209,54546
discounted_vanilla_proper,122,53337,786,54123
discounted_vanilla_proper,123,53337,265,53602
discounted_vanilla_proper,124,53337,348,53685
discounted_vanilla_proper,125,53337,729,54066
discounted_vanilla_proper,126,53337,361,53698
discounted_vanilla_proper,127,53337,381,53718
discounted_vanilla_proper,128,53337,483,53820
discounted_vanilla_proper,129,53337,744,54081
discounted_vanilla_proper,130,53337,690,54027
discounted_vanilla_proper,131,53337,529,53866
discounted_vanilla_proper,132,53337,453,53790
discounted_vanilla_proper,133,53337,535,53872
discounted_vanilla_proper,134,53337,299,53636
discounted_vanilla_proper,135,53337,315,53652
discounted_vanilla_proper,136,53337,740,54077
discounted_vanilla_proper,137,53337,541,53878
discounted_vanilla_proper,138,53337,1196,54533
