theta0,theta1,gain
9.0,0.5,0.91851
9.5,0.5,0.91845
10.0,0.5,0.91842
-10.0,1.0,3.99942
-9.5,1.0,3.99904
-9.0,1.0,3.99841
-8.5,1.0,3.99739
-8.0,1.0,3.99569
-7.5,1.0,3.9929
-7.0,1.0,3.98832
-6.5,1.0,3.98078
-6.0,1.0,3.96844
-5.5,1.0,3.9483
-5.0,1.0,3.91566
-4.5,1.0,3.86333
-4.0,1.0,3.78082
-3.5,1.0,3.65423
-3.0,1.0,3.46777
-2.5,1.0,3.20908
-2.0,1.0,2.87844
-1.5,1.0,2.49747
-1.0,1.0,2.10758
-0.5,1.0,1.7541
0.0,1.0,1.46715
0.5,1.0,1.25438
1.0,1.0,1.10698
1.5,1.0,1.00961
2.0,1.0,0.94728
2.5,1.0,0.9082
3.0,1.0,0.88401
3.5,1.0,0.86915
4.0,1.0,0.86007
4.5,1.0,0.85453
5.0,1.0,0.85116
5.5,1.0,0.84912
6.0,1.0,0.84788
6.5,1.0,0.84712
7.0,1.0,0.84667
7.5,1.0,0.84639
8.0,1.0,0.84622
8.5,1.0,0.84612
9.0,1.0,0.84606
9.5,1.0,0.84602
10.0,1.0,0.846
-10.0,1.5,3.99902
-9.5,1.5,3.99838
-9.0,1.5,3.99734
-8.5,1.5,3.99561
-8.0,1.5,3.99277
-7.5,1.5,3.9881
-7.0,1.5,3.98043
-6.5,1.5,3.96786
-6.0,1.5,3.94736
-5.5,1.5,3.91412
-5.0,1.5,3.86083
-4.5,1.5,3.77681
-4.0,1.5,3.6479
-3.5,1.5,3.45803
-3.0,1.5,3.19461
-2.5,1.5,2.85793
-2.0,1.5,2.46999
-1.5,1.5,2.07297
-1.0,1.5,1.71303
-0.5,1.5,1.42083
0.0,1.5,1.20417
0.5,1.5,1.05408
1.0,1.5,0.95492
1.5,1.5,0.89146
2.0,1.5,0.85166
2.5,1.5,0.82703
3.0,1.5,0.81189
3.5,1.5,0.80265
4.0,1.5,0.79701
4.5,1.5,0.79358
5.0,1.5,0.7915
5.5,1.5,0.79023
6.0,1.5,0.78947
6.5,1.5,0.789
7.0,1.5,0.78872
7.5,1.5,0.78855
8.0,1.5,0.78844
